budget,primary_genre,original_title,overview,production_company,release_date,revenue,runtime,tagline,title
12000000,Romance,Country of My Skull,An American reporter and an Afrikaans poet meet and fall in love while covering South Africa's Truth and Reconciliation Commission hearings.,Chartoff Productions,38111,163536,103,"A South African Story of Truth, Love and Reconcilliation",In My Country
29000000,Drama,The Jacket,"A military veteran goes on a journey into the future, where he can foresee his death and is left with questions that could save his life and those he loves.",Section Eight,38415,21126225,103,Terror has a new name.,The Jacket
80000000,Crime,The Interpreter,"After Silvia Broome, an interpreter at United Nations headquarters, overhears plans of an assassination, an American Secret Service agent is sent to investigate.",Universal Pictures,38450,162944923,128,The truth needs no translation.,The Interpreter
130000,Drama,Open Water,"Two divers are left out at sea without a boat. Thereâ€™s nothing but water for miles, unless they look at whatâ€™s underneath them...",Plunge Pictures LLC,38205,54667954,79,Scream all you want.,Open Water
500000,Crime,Mean Creek,"Teenagers living in small-town Oregon take a boat trip for a birthday celebration. When they get an idea to play a mean trick on the town bully, it suddenly goes too far. Soon they're forced to deal with the unexpected consequences of their actions.",Whitewater Films,38001,603943,90,"Beneath the surface, everyone has a secret.",Mean Creek
50000000,Drama,The Ring Two,Rachel Keller must prevent evil Samara from taking possession of her son's soul.,DreamWorks,38428,161451538,110,The dead don't sleep.,The Ring Two
10000000,Drama,The Visual Bible: The Gospel of John,A word for word depiction of the life of Jesus Christ from the Good News Translation Bible as recorded in the Gospel of John.,Gospel of John Ltd.,37875,4069090,125,For God loved the world So much...,The Visual Bible: The Gospel of John
8000000,Comedy,She Hate Me,"Fired from his job, a former executive turns to impregnating wealthy lesbians for profit.",40 Acres & A Mule Filmworks,38198,365134,138,18 women want children. Jack is a white collar whistle-blower in need of a job.,She Hate Me
8700000,Animation,A Scanner Darkly,An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.,Thousand Words,38862,7659918,100,Everything Is Not Going To Be OK,A Scanner Darkly
30000000,Drama,Million Dollar Baby,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",Lakeshore Entertainment,38336,216763646,132,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",Million Dollar Baby
150000000,Adventure,Charlie and the Chocolate Factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",Village Roadshow Pictures,38546,474968763,115,Willy Wonka is semi-sweet and nuts.,Charlie and the Chocolate Factory
10000000,Drama,White Noise,"An architect's desire to speak with his wife from beyond the grave using EVP (Electronic Voice Phenomenon), becomes an obsession with supernatural repercussions.",Universal Pictures,38359,91196419,101,The line separating the living from the dead has been crossed.,White Noise
1400000,Action,Sergeant York,Alvin York a hillbilly sharpshooter transforms himself from ruffian to religious pacifist. He is then called to serve his country and despite deep religious and moral objections to fighting becomes one of the most celebrated American heroes of WWI.,Warner Bros.,15159,16361885,134,Missiles! Jets! Tanks! ...It's Still The Guy With Guts And A Gun Who Wins The War!,Sergeant York
43000000,Action,Elektra,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",Twentieth Century Fox Film Corporation,38365,56681566,97,Looks can kill,Elektra
30000000,Drama,Coach Carter,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",Paramount Pictures,38366,76669806,136,It begins on the street. It ends here.,Coach Carter
30000000,Thriller,Assault on Precinct 13,"On New Year's Eve, inside a police station that's about to be closed for good, officer Jake Roenick must cobble together a force made up cops and criminals to save themselves from a mob looking to kill mobster Marion Bishop.",Rogue Pictures,38371,35294470,109,Unite and fight.,Assault on Precinct 13
3000000,Drama,Samson and Delilah,The classic story of Samson and Delilah as told by Cecil B. DeMille.,Paramount Pictures,18253,11500000,128,HISTORY'S MOST BEAUTIFUL AND TREACHEROUS WOMAN!,Samson and Delilah
35000000,Horror,Cursed,"A werewolf loose in Los Angeles changes the lives of three young adults, who, after being mauled by the beast, learn they must kill their attacker if they hope to change their fate to avoid becoming werewolves too.",Craven-Maddalena Films,38408,19294901,97,What doesn't kill you makes you stronger.,Cursed
56000000,Action,The Pacifier,Disgraced Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains hidden in the kids' house.,Walt Disney Pictures,38415,113006880,95,Welcome to the infantry.,The Pacifier
53000000,Comedy,Be Cool,"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music exec on the way.",Double Feature Films,38415,95226116,118,Everyone is looking for the next big hit,Be Cool
52000000,Mystery,Hostage,"When a mafia accountant is taken hostage on his beat, a police officer wracked by guilt from a prior stint as a negotiator must negotiate the standoff, even as his own family is held captive by the mob.",Miramax Films,38421,77944725,113,Every Second Counts,Hostage
75000000,Animation,Robots,"Rodney Copperbottom is a young robot inventor who dreams of making the world a better place, until the evil Ratchet takes over Big Weld Industries. Now, Rodney's dreams and those of his friends are in danger of becoming obsolete.",Blue Sky Studios,38421,260696994,91,You can shine no matter what you're made of.,Robots
13000000,Animation,Once Upon a Forest,"A young mouse, mole and hedgehog risk their lives to find a cure for their badger friend, who's been poisoned by men.",Twentieth Century Fox Film Corporation,34138,6582052,71,An Adventurous Race Against Time!,Once Upon a Forest
7000000,War,The Green Berets,Col. Mike Kirby picks two teams of crack Green Berets for a mission in South Vietnam. First off is to build and control a camp that is trying to be taken by the enemy the second mission is to kidnap a North Vietnamese General,Batjac Productions,25023,11000000,142,A special force in a special kind of hell!,The Green Berets
35000000,Comedy,Guess Who,"The fiancÃ© of an African-American woman who's met with skepticism and suspicion from her father when she takes him home for the all-important introduction. As the wedding approaches, Dad must come to terms with his future son-in-law.",Columbia Pictures,38436,68915888,105,His house. His rules. Some in-laws were made to be broken.,Guess Who
25000000,Comedy,Beauty Shop,"You thought you'd heard it all in the barbershop, but you haven't heard anything yet - the women get their own chance to shampoo, shine, and speak their minds in Beauty Shop.",Metro-Goldwyn-Mayer (MGM),38505,36351350,105,A Cut Above,Beauty Shop
50000000,Adventure,The Hitchhiker's Guide to the Galaxy,"Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of The Hitchhiker's Guide to the Galaxy.",Spyglass Entertainment,38367,104478416,109,Don't leave Earth without it.,The Hitchhiker's Guide to the Galaxy
19000000,Horror,The Amityville Horror,A family is terrorized by demonic forces after moving into a home that was the site of a grisly mass-murder.,Platinum Dunes,38457,108047131,90,What happened over the next 28 days has never been explained.,The Amityville Horror
130000000,Drama,Kingdom of Heaven,"After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.",Studio Babelsberg,38475,211643158,144,"Be without fear in the face of your enemies. Safeguard the helpless, and do no wrong",Kingdom of Heaven
40000000,Horror,House of Wax,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,Village Roadshow Pictures,38472,68766121,113,Prey. Slay. Display,House of Wax
